Student 1,Student 2,Student 3,Student 4,Student 5,Student 6,Student 7,Student 8,Student 9,Student 10
84,85,110,104,50,110,92,51,92,49
85,83.5,83.5,82.5,53.5,85,76,56,75.5,53
86,85.33,92.67,75,61,93.33,82.67,58.67,82.33,56.67
86.75,87,84,75.25,91.25,85,78.5,60,80.75,57.75
87.4,80,92.8,71.2,89.6,92.6,85,69.8,74.4,58.8
91,83.67,107.67,88.33,105,104.83,79.5,76.33,82,58.17
93.29,86.71,118.57,100.43,116.14,113.57,84.43,80.86,86.86,65.57
96.12,88.88,127,108.75,124.62,120.75,88.62,84.12,90.75,72
98.11,90.67,133.56,115.56,131.22,126,91.89,86.78,93.33,77.33
100,92.3,138.5,121,136.6,130.3,94.6,89,95.2,81.6
101.09,93.73,142.55,125.55,140.91,133.64,96.82,90.73,98.09,85
102.25,95.17,145.92,129.5,145.75,136.33,98.25,92,100.33,87.83
102.92,96.46,148.15,132.54,149.77,138.54,99.54,93,102.46,90
103.64,97.5,150,135,153.29,140.43,100.71,93.57,104.14,92
104.27,98.47,151.67,137.13,156.47,141.93,101.73,94.33,105.67,93.2
104.12,99.38,153.25,139,159.31,143.19,102.62,95.12,107.12,94.38
104,100,154.65,140.53,162.24,144.41,103.47,95.82,108.41,95
103.67,100.56,156.06,141.89,164.83,145.5,104.22,96.33,109.56,95.56
103.32,100.89,157.26,143.11,167.21,146.26,104.58,96.16,110.79,96.05
103,101.1,158.35,144.3,169,146.95,105.35,96,112.3,96.5
102.33,101.29,159.33,145.29,170.38,147.52,106.05,95.71,113.67,97
102.91,101.36,160.27,146.18,171.68,148.09,106.68,95.59,114.86,97.45
103.17,101.65,160.61,147,172.87,148.7,107.26,95.48,115.87,97.83
103.46,101.88,160.83,147.71,173.92,149.21,107.79,95.42,116.75,98.21
103.76,102.08,161.04,148.32,174.88,149.72,108.28,95.32,118.12,98.56
104,102.35,161.27,148.85,175.81,150.5,108.62,95.27,119.35,98.85
104.19,102.56,161.48,149.3,176.59,151.26,108.81,95.19,120.48,98.96
104.39,102.75,161.64,149.68,177.32,152.39,109.04,95.18,121.54,99.14
104.38,102.9,161.76,150.1,178.03,153.55,109.28,95.17,122.52,99.31
104.43,102.97,161.9,150.53,178.7,154.63,109.43,95.17,123.47,99.5
104.45,103.1,162,151,179.32,155.65,109.55,95.06,124.35,99.74
104.56,103.19,162.09,151.41,179.88,156.56,109.69,95,125.19,99.94
104.67,102.97,162.21,151.76,180.39,157.52,109.73,94.91,125.94,100.15
104.74,102.5,162.32,152.09,180.85,158.38,109.76,94.85,126.65,100.35
104.8,102.06,162.6,152.37,181.43,159.37,109.74,94.69,127.29,100.57
104.86,102.06,162.78,152.61,181.94,160.28,109.58,95.61,127.92,100.78
104.95,101.65,162.89,152.84,182.46,161.11,109.46,96.59,128.49,100.97
104.92,101.26,163,153.05,182.95,161.84,109.34,97.53,129,101.18
104.92,100.9,163.05,153.26,183.41,162.56,109.23,98.21,129.49,101.38
104.95,100.55,163.07,153.45,183.82,163.18,109.2,98.82,129.95,101.57
104.98,100.73,163.05,153.61,184.27,163.85,109.17,99.37,130.44,101.76
105.05,100.64,163.02,153.74,184.64,164.52,109.12,100.05,130.88,101.93
105.12,100.56,162.91,153.84,185,165.21,109.09,100.67,131.33,102.09
105.18,100.3,162.77,153.91,185.34,165.55,109.07,101.32,131.73,102.23
105.22,100.36,162.69,153.96,185.56,165.82,109.04,101.96,132.11,102.42
105.24,100.15,162.63,154.02,185.78,165.91,109,102.54,132.48,102.59
105.32,100,162.57,154.15,186.02,166.04,108.96,103.13,132.74,102.74
105.42,99.88,162.5,154.27,186.29,166.17,108.9,103.73,132.88,102.96
105.55,99.76,162.45,154.39,186.71,166.29,108.84,104.45,133,103.12
105.84,99.64,162.44,154.52,187.14,166.36,108.86,105.06,133.16,103.26
106.04,99.53,162.43,154.65,187.57,166.43,108.88,105.69,133.22,103.39
106.19,99.48,162.46,154.75,188,166.5,108.88,106.31,133.29,103.5
106.38,99.47,162.51,154.83,188.38,166.58,108.91,106.91,133.32,103.57
106.56,99.41,162.54,154.85,188.72,166.63,108.91,107.2,133.35,103.59
106.65,99.36,162.6,154.84,189.05,166.71,108.87,107.4,133.38,103.56
106.77,99.29,162.7,154.86,189.41,166.79,108.89,107.62,133.41,103.57
106.89,99.21,162.77,154.89,189.7,166.88,108.93,107.84,133.47,103.56
106.97,99.16,162.83,154.95,189.95,166.97,108.98,108.03,133.53,103.55
106.86,99.08,162.92,155,190.19,166.88,109,108.19,133.59,103.53
106.78,98.98,163.02,155.07,190.42,166.83,108.98,108.33,133.67,103.5
106.88,99.15,164.03,156,192.98,167.75,109.35,109.45,134.42,104.37
106.93,99.4,165.97,157.65,195.43,169.5,110.28,110.37,135.75,105.07
107.28,99.53,167.02,159.35,197.6,170.4,110.6,111.5,136.42,105.63
107.78,99.62,168.9,160.83,198.07,172.12,111.42,112.68,137.4,106.25
108.33,100.43,169.65,162.67,200.18,172.75,111.48,113.13,138.83,106.82
108.57,100.33,169.52,162.52,200.62,172.65,112.37,113.58,139.02,107.52
108.82,100.17,169.35,162.35,201.05,172.7,112.25,114.03,139.28,107.33
108.88,100.03,169.15,162.28,201.48,172.67,112.05,114.57,139.52,107.02
109,99.87,168.97,162.15,201.92,172.65,111.83,115.12,139.8,106.63
109.07,99.65,168.87,162.03,202.37,172.6,111.55,115.65,140.12,106.27
109.23,99.43,168.82,161.93,202.88,172.35,111.27,116.18,140.18,105.95
109.35,99.18,168.77,161.73,203.15,172.15,111.07,116.75,140.28,105.63
109.55,98.95,168.85,161.6,203.35,171.98,110.8,117.58,140.35,105.42
109.7,98.75,169.1,161.52,203.53,171.78,110.5,118.43,140.47,105.18
109.88,98.48,169.4,161.45,203.68,171.72,110.18,119.22,140.52,105.05
110.27,98.18,169.62,161.37,203.77,171.65,109.83,119.98,140.52,104.9
110.63,97.87,169.85,161.3,203.78,171.57,109.5,120.82,140.48,104.9
111.07,97.57,170.03,161.25,203.8,171.48,109.17,121.72,140.47,104.85
111.48,97.37,170.27,161.25,203.78,171.47,108.92,122.78,140.37,104.78
111.88,97.18,170.5,161.22,203.9,171.42,108.52,123.7,140.13,104.73
112.4,97.02,170.78,161.2,204.07,171.4,108.13,124.82,139.9,104.65
112.5,96.92,171.2,161.18,204.23,171.42,107.78,125.88,139.67,104.55
112.68,96.75,171.37,161.18,204.38,171.37,107.45,127.2,139.48,104.42
112.82,96.6,171.53,161.2,204.57,171.33,107.15,128.48,139.3,104.35
112.97,96.47,171.73,161.23,204.73,171.27,106.85,129.72,138.87,104.27
